,Variable,Units,Description
458,WW,gC m-2 d-1,[SQRT(NEE_CUT_REF_RANDUNC^2 + ((NEE_CUT_84 – NEE_CUT_16) / 2)^2)] for each week
459,MM,gC m-2 d-1,[SQRT(NEE_CUT_REF_RANDUNC^2 + ((NEE_CUT_84 – NEE_CUT_16) / 2)^2)] for each month
460,YY,gC m-2 y-1,[SQRT(NEE_CUT_REF_RANDUNC^2 + ((NEE_CUT_84 – NEE_CUT_16) / 2)^2)] for each year
461,NEE_VUT_REF_JOINTUNC,,"Joint uncertainty estimation for NEE_VUT_REF, including random uncertainty and USTAR filtering uncertainty"
462,HH,umolCO2 m-2 s-1,[SQRT(NEE_VUT_REF_RANDUNC^2 + ((NEE_VUT_84 – NEE_VUT_16) / 2)^2)] for each half-hour
463,DD,gC m-2 d-1,[SQRT(NEE_VUT_REF_RANDUNC^2 + ((NEE_VUT_84 – NEE_VUT_16) / 2)^2)] for each day
464,WW,gC m-2 d-1,[SQRT(NEE_VUT_REF_RANDUNC^2 + ((NEE_VUT_84 – NEE_VUT_16) / 2)^2)] for each week
465,MM,gC m-2 d-1,[SQRT(NEE_VUT_REF_RANDUNC^2 + ((NEE_VUT_84 – NEE_VUT_16) / 2)^2)] for each month
466,YY,gC m-2 y-1,[SQRT(NEE_VUT_REF_RANDUNC^2 + ((NEE_VUT_84 – NEE_VUT_16) / 2)^2)] for each year
467,NEE_CUT_USTAR50,,"Net Ecosystem Exchange, using Constant Ustar Threshold (CUT) across years, from 50 percentile of USTAR threshold"
468,HH,umolCO2 m-2 s-1,
469,DD,gC m-2 d-1,calculated from half-hourly data
470,WW-MM,gC m-2 d-1,average from daily data
471,YY,gC m-2 y-1,sum from daily data
472,NEE_VUT_USTAR50,,"Net Ecosystem Exchange, using Variable Ustar Threshold (VUT) for each year, from 50 percentile of USTAR threshold"
473,HH,umolCO2 m-2 s-1,
474,DD,gC m-2 d-1,calculated from half-hourly data
475,WW-MM,gC m-2 d-1,average from daily data
476,YY,gC m-2 y-1,sum from daily data
477,NEE_CUT_USTAR50_QC,,Quality flag for NEE_CUT_USTAR50
478,HH,nondimensional,0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor
479,DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
480,WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
481,NEE_VUT_USTAR50_QC,,Quality flag for NEE_VUT_USTAR50
482,HH,nondimensional,0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor
483,DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
484,WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
485,NEE_CUT_USTAR50_RANDUNC,,"Random uncertainty for NEE_CUT_USTAR50, from measured only data"
486,HH,umolCO2 m-2 s-1,uses only data points where NEE_CUT_USTAR50_QC is 0 and two hierarchical methods – see header and NEE_CUT_USTAR50_RANDUNC_METHOD
487,DD-MM,gC m-2 d-1,"from random uncertainty of individual half-hours (rand(i)) = [SQRT(SUM(rand(i)^2)) / n], where n is the number of half-hours used"
488,YY,gC m-2 y-1,"from random uncertainty of individual half-hours (rand(i)) = [SQRT(SUM(rand(i)^2)) / n], where n is the number of half-hours used"
489,NEE_VUT_USTAR50_RANDUNC,,"Random uncertainty for NEE_VUT_USTAR50, from measured only data"
490,HH,umolCO2 m-2 s-1,uses only data points where NEE_VUT_USTAR50_QC is 0 and two hierarchical methods see header and NEE_VUT_USTAR50_RANDUNC_METHOD
491,DD-MM,gC m-2 d-1,"from random uncertainty of individual half-hours (rand(i)) = [SQRT(SUM(rand(i)^2)) / n], where n is the number of half-hours used"
492,YY,gC m-2 y-1,"from random uncertainty of individual half-hours (rand(i)) = [SQRT(SUM(rand(i)^2)) / n], where n is the number of half-hours used"
493,NEE_CUT_USTAR50_RANDUNC_METHOD,,Method used to estimate the random uncertainty of NEE_CUT_USTAR50
494,HH,nondimensional,"1 = RANDUNC Method 1 (direct SD method), 2 = RANDUNC Method 2 (median SD method)"
495,DD-YY,,not produced
496,NEE_VUT_USTAR50_RANDUNC_METHOD,,Method used to estimate the random uncertainty of NEE_VUT_USTAR50
497,HH,nondimensional,"1 = RANDUNC Method 1 (direct SD method), 2 = RANDUNC Method 2 (median SD method)"
498,DD-YY,,not produced
499,NEE_CUT_USTAR50_RANDUNC_N,,Number of half-hour data points used to estimate the random uncertainty of NEE_CUT_USTAR50
500,HH,nondimensional,
501,DD-YY,,not produced
502,NEE_VUT_USTAR50_RANDUNC_N,,Number of half-hour data points used to estimate the random uncertainty of NEE_VUT_USTAR50
503,HH,nondimensional,
504,DD-YY,,not produced
505,NEE_CUT_USTAR50_JOINTUNC,,"Joint uncertainty estimation for NEE_CUT_USTAR50, including random uncertainty and USTAR filtering uncertainty"
506,HH,umolCO2 m-2 s-1,[SQRT(NEE_CUT_USTAR50_RANDUNC^2 + ((NEE_CUT_84 – NEE_CUT_16) / 2)^2)] for each half-hour
507,DD,gC m-2 d-1,[SQRT(NEE_CUT_USTAR50_RANDUNC^2 + ((NEE_CUT_84 – NEE_CUT_16) / 2)^2)] for each day
508,WW,gC m-2 d-1,[SQRT(NEE_CUT_USTAR50_RANDUNC^2 + ((NEE_CUT_84 – NEE_CUT_16) / 2)^2)] for each week
509,MM,gC m-2 d-1,[SQRT(NEE_CUT_USTAR50_RANDUNC^2 + ((NEE_CUT_84 – NEE_CUT_16) / 2)^2)] for each month
510,YY,gC m-2 y-1,[SQRT(NEE_CUT_USTAR50_RANDUNC^2 + ((NEE_CUT_84 – NEE_CUT_16) / 2)^2)] for each year
511,NEE_VUT_USTAR50_JOINTUNC,,"Joint uncertainty estimation for NEE_VUT_USTAR50, including random uncertainty and USTAR filtering uncertainty"
512,HH,umolCO2 m-2 s-1,[SQRT(NEE_VUT_USTAR50_RANDUNC^2 + ((NEE_VUT_84 – NEE_VUT_16) / 2)^2)] for each half-hour
513,DD,gC m-2 d-1,[SQRT(NEE_VUT_USTAR50_RANDUNC^2 + ((NEE_VUT_84 – NEE_VUT_16) / 2)^2)] for each day
514,WW,gC m-2 d-1,[SQRT(NEE_VUT_USTAR50_RANDUNC^2 + ((NEE_VUT_84 – NEE_VUT_16) / 2)^2)] for each week
515,MM,gC m-2 d-1,[SQRT(NEE_VUT_USTAR50_RANDUNC^2 + ((NEE_VUT_84 – NEE_VUT_16) / 2)^2)] for each month
516,YY,gC m-2 y-1,[SQRT(NEE_VUT_USTAR50_RANDUNC^2 + ((NEE_VUT_84 – NEE_VUT_16) / 2)^2)] for each year
517,NEE_CUT_MEAN,,"Net Ecosystem Exchange, using Constant Ustar Threshold (CUT) across years, average from 40 NEE_CUT_XX versions"
518,HH,umolCO2 m-2 s-1,average from 40 half-hourly NEE_CUT_XX
519,DD,gC m-2 d-1,average from 40 daily NEE_CUT_XX
520,WW,gC m-2 d-1,average from 40 weekly NEE_CUT_XX
521,MM,gC m-2 d-1,average from 40 monthly NEE_CUT_XX
522,YY,gC m-2 y-1,average from 40 yearly NEE_CUT_XX
523,NEE_VUT_MEAN,,"Net Ecosystem Exchange, using Variable Ustar Threshold (VUT) for each year, average from 40 NEE_VUT_XX versions"
524,HH,umolCO2 m-2 s-1,average from 40 half-hourly NEE_CUT_XX
525,DD,gC m-2 d-1,average from 40 daily NEE_CUT_XX
526,WW,gC m-2 d-1,average from 40 weekly NEE_CUT_XX
527,MM,gC m-2 d-1,average from 40 monthly NEE_CUT_XX
528,YY,gC m-2 y-1,average from 40 yearly NEE_CUT_XX
529,NEE_CUT_MEAN_QC,,"Quality flag for NEE_CUT_MEAN, fraction between 0-1 indicating percentage of good quality data"
530,HH,nondimensional,average of percentages of good data (NEE_CUT_XX_QC is 0 or 1) from 40 NEE_CUT_XX_QC
531,DD-YY,nondimensional,average of 40 NEE_CUT_XX_QC for the period
532,NEE_VUT_MEAN_QC,,"Quality flag for NEE_VUT_MEAN, fraction between 0-1 indicating percentage of good quality data"
533,HH,nondimensional,average of percentages of good data (NEE_VUT_XX_QC is 0 or 1) from 40 NEE_VUT_XX_QC
534,DD-YY,nondimensional,average of 40 NEE_VUT_XX_QC for the period
535,NEE_CUT_SE,,"Standard Error for NEE_CUT, calculated as SD(NEE_CUT_XX) / SQRT(40)"
536,HH,umolCO2 m-2 s-1,SE from 40 half-hourly NEE_CUT_XX
537,DD,gC m-2 d-1,SE from 40 daily NEE_CUT_XX
538,WW,gC m-2 d-1,SE from 40 weekly NEE_CUT_XX
539,MM,gC m-2 d-1,SE from 40 monthly NEE_CUT_XX
540,YY,gC m-2 y-1,SE from 40 yearly NEE_CUT_XX
541,NEE_VUT_SE,,"Standard Error for NEE_VUT, calculated as SD(NEE_VUT_XX) / SQRT(40)"
542,HH,umolCO2 m-2 s-1,SE from 40 half-hourly NEE_CUT_XX
543,DD,gC m-2 d-1,SE from 40 daily NEE_CUT_XX
544,WW,gC m-2 d-1,SE from 40 weekly NEE_CUT_XX
545,MM,gC m-2 d-1,SE from 40 monthly NEE_CUT_XX
546,YY,gC m-2 y-1,SE from 40 yearly NEE_CUT_XX
547,NEE_CUT_XX,,"NEE CUT percentiles (approx. percentile indicated by XX, see doc.) calculated from the 40 estimates aggregated at the different time resolutions — XX = 05, 16, 25, 50, 75, 84, 95"
548,HH,umolCO2 m-2 s-1,XXth percentile from 40 half-hourly NEE_CUT_XX
549,DD,gC m-2 d-1,XXth percentile from 40 daily NEE_CUT_XX
550,WW,gC m-2 d-1,XXth percentile from 40 weekly NEE_CUT_XX
551,MM,gC m-2 d-1,XXth percentile from 40 monthly NEE_CUT_XX
552,YY,gC m-2 y-1,XXth percentile from 40 yearly NEE_CUT_XX
553,NEE_VUT_XX,,"NEE VUT percentiles (approx. percentile indicated by XX, see doc.) calculated from the 40 estimates aggregated at the different time resolutions — XX = 05, 16, 25, 50, 75, 84, 95"
554,HH,umolCO2 m-2 s-1,XXth percentile from 40 half-hourly NEE_VUT_XX
555,DD,gC m-2 d-1,XXth percentile from 40 daily NEE_VUT_XX
556,WW,gC m-2 d-1,XXth percentile from 40 weekly NEE_VUT_XX
557,MM,gC m-2 d-1,XXth percentile from 40 monthly NEE_VUT_XX
558,YY,gC m-2 y-1,XXth percentile from 40 yearly NEE_VUT_XX
559,NEE_CUT_XX_QC,,"Quality flag for NEE_CUT_XX — XX = 05, 16, 25, 50, 75, 84, 95"
560,HH,nondimensional,0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor
561,DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
562,WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
563,NEE_VUT_XX_QC,,"Quality flag for NEE_VUT_XX — XX = 05, 16, 25, 50, 75, 84, 95"
564,HH,nondimensional,0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor
565,DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
566,WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
567,NEE_CUT_REF_NIGHT,,"Average nighttime NEE, from NEE_CUT_REF"
568,HH,,not produced
569,DD,umolCO2 m-2 s-1,average from half-hourly data (where NIGHT is 1)
570,WW-YY,umolCO2 m-2 s-1,average from daily data
571,NEE_VUT_REF_NIGHT,,"Average nighttime NEE, from NEE_VUT_REF"
572,HH,,not produced
573,DD,umolCO2 m-2 s-1,average from half-hourly data (where NIGHT is 1)
574,WW-YY,umolCO2 m-2 s-1,average from daily data
575,NEE_CUT_REF_NIGHT_SD,,"Standard Deviation of the nighttime NEE, from the NEE_CUT_REF"
576,HH,,not produced
577,DD,umolCO2 m-2 s-1,from half-hourly data (where NIGHT is 1)
578,WW-YY,umolCO2 m-2 s-1,from daily data
579,NEE_VUT_REF_NIGHT_SD,,"Standard Deviation of the nighttime NEE, from the NEE_VUT_REF"
580,HH,,not produced
581,DD,umolCO2 m-2 s-1,from half-hourly data (where NIGHT is 1)
582,WW-YY,umolCO2 m-2 s-1,from daily data
583,NEE_CUT_REF_NIGHT_QC,,Quality flag for NEE_CUT_REF_NIGHT
584,HH,,not produced
585,DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
586,WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
587,NEE_VUT_REF_NIGHT_QC,,Quality flag for NEE_VUT_REF_NIGHT
588,HH,,not produced
589,DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
590,WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
591,NEE_CUT_REF_NIGHT_RANDUNC,,"Random uncertainty of NEE_CUT_REF_NIGHT, from the random uncertainty of the single nighttime half-hours"
592,HH,,not produced
593,DD-YY,umolCO2 m-2 s-1,"from random uncertainty of individual half-hours where NIGHT is 1 (rand(i)) = [SQRT(SUM(rand(i)^2)) / n], where n is the number of half-hours used to calculate the nighttime aggregation in the day."
594,NEE_VUT_REF_NIGHT_RANDUNC,,"Random uncertainty of NEE_VUT_REF_NIGHT, from the random uncertainty of the single nighttime half-hours"
595,HH,,not produced
596,DD-YY,umolCO2 m-2 s-1,"from random uncertainty of individual half-hours where NIGHT is 1 (rand(i)) = [SQRT(SUM(rand(i)^2)) / n], where n is the number of half-hours used to calculate the nighttime aggregation in the day."
597,NEE_CUT_REF_NIGHT_JOINTUNC,,"Joint uncertainty estimation for NEE_CUT_REF_NIGHT, including random uncertainty and USTAR filtering uncertainty"
598,HH,,not produced
599,DD,umolCO2 m-2 s-1,[SQRT(NEE_CUT_REF_NIGHT_RANDUNC^2 + ((NEE_CUT_84_NIGHT – NEE_CUT_16_NIGHT) / 2)^2)] for each day
600,WW,umolCO2 m-2 s-1,[SQRT(NEE_CUT_REF_NIGHT_RANDUNC^2 + ((NEE_CUT_84_NIGHT – NEE_CUT_16_NIGHT) / 2)^2)] for each week
601,MM,umolCO2 m-2 s-1,[SQRT(NEE_CUT_REF_NIGHT_RANDUNC^2 + ((NEE_CUT_84_NIGHT – NEE_CUT_16_NIGHT) / 2)^2)] for each month
602,YY,umolCO2 m-2 s-1,[SQRT(NEE_CUT_REF_NIGHT_RANDUNC^2 + ((NEE_CUT_84_NIGHT – NEE_CUT_16_NIGHT) / 2)^2)] for each year
603,NEE_VUT_REF_NIGHT_JOINTUNC,,"Joint uncertainty estimation for NEE_VUT_REF_NIGHT, including random uncertainty and USTAR filtering uncertainty"
604,HH,,not produced
605,DD,umolCO2 m-2 s-1,[SQRT(NEE_VUT_REF_NIGHT_RANDUNC^2 + ((NEE_VUT_84_NIGHT – NEE_VUT_16_NIGHT) / 2)^2)] for each day
606,WW,umolCO2 m-2 s-1,[SQRT(NEE_VUT_REF_NIGHT_RANDUNC^2 + ((NEE_VUT_84_NIGHT – NEE_VUT_16_NIGHT) / 2)^2)] for each week
607,MM,umolCO2 m-2 s-1,[SQRT(NEE_VUT_REF_NIGHT_RANDUNC^2 + ((NEE_VUT_84_NIGHT – NEE_VUT_16_NIGHT) / 2)^2)] for each month
608,YY,umolCO2 m-2 s-1,[SQRT(NEE_VUT_REF_NIGHT_RANDUNC^2 + ((NEE_VUT_84_NIGHT – NEE_VUT_16_NIGHT) / 2)^2)] for each year
609,NEE_CUT_REF_DAY,,"Average daytime NEE, from NEE_CUT_REF"
610,HH,,not produced
611,DD,umolCO2 m-2 s-1,average from half-hourly data (where NIGHT is 0)
612,WW-YY,umolCO2 m-2 s-1,average from daily data
613,NEE_VUT_REF_DAY,,"Average daytime NEE, from NEE_VUT_REF"
614,HH,,not produced
615,DD,umolCO2 m-2 s-1,average from half-hourly data (where NIGHT is 0)
616,WW-YY,umolCO2 m-2 s-1,average from daily data
617,NEE_CUT_REF_DAY_SD,,"Standard Deviation of the daytime NEE, from the NEE_CUT_REF"
618,HH,,not produced
619,DD,umolCO2 m-2 s-1,from half-hourly data (where NIGHT is 0)
620,WW-YY,umolCO2 m-2 s-1,from daily data
621,NEE_VUT_REF_DAY_SD,,"Standard Deviation of the daytime NEE, from the NEE_VUT_REF"
622,HH,,not produced
623,DD,umolCO2 m-2 s-1,from half-hourly data (where NIGHT is 0)
624,WW-YY,umolCO2 m-2 s-1,from daily data
625,NEE_CUT_REF_DAY_QC,,Quality flag for NEE_CUT_REF_DAY
626,HH,,not produced
627,DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
628,WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
629,NEE_VUT_REF_DAY_QC,,Quality flag for NEE_VUT_REF_DAY
630,HH,,not produced
631,DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
632,WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
633,NEE_CUT_REF_DAY_RANDUNC,,"Random uncertainty of NEE_CUT_REF_DAY, from the random uncertainty of the single daytime half-hours"
634,HH,,not produced
635,DD-YY,umolCO2 m-2 s-1,"from random uncertainty of individual half-hours where NIGHT is 0 (rand(i)) = [SQRT(SUM(rand(i)^2)) / n], where n is the number of half-hours used to calculate the daytime aggregation in the day."
636,NEE_VUT_REF_DAY_RANDUNC,,"Random uncertainty of NEE_VUT_REF_DAY, from the random uncertainty of the single daytime half-hours"
637,HH,,not produced
638,DD-YY,umolCO2 m-2 s-1,"from random uncertainty of individual half-hours where NIGHT is 0 (rand(i)) = [SQRT(SUM(rand(i)^2)) / n], where n is the number of half-hours used to calculate the daytime aggregation in the day."
639,NEE_CUT_REF_DAY_JOINTUNC,,"Joint uncertainty estimation for NEE_CUT_REF_DAY, including random uncertainty and USTAR filtering uncertainty"
640,HH,,not produced
641,DD,umolCO2 m-2 s-1,[SQRT(NEE_CUT_REF_DAY_RANDUNC^2 + ((NEE_CUT_84_DAY – NEE_CUT_16_DAY) / 2)^2)] for each day
642,WW,umolCO2 m-2 s-1,[SQRT(NEE_CUT_REF_DAY_RANDUNC^2 + ((NEE_CUT_84_DAY – NEE_CUT_16_DAY) / 2)^2)] for each week
643,MM,umolCO2 m-2 s-1,[SQRT(NEE_CUT_REF_DAY_RANDUNC^2 + ((NEE_CUT_84_DAY – NEE_CUT_16_DAY) / 2)^2)] for each month
644,YY,umolCO2 m-2 s-1,[SQRT(NEE_CUT_REF_DAY_RANDUNC^2 + ((NEE_CUT_84_DAY – NEE_CUT_16_DAY) / 2)^2)] for each year
645,NEE_VUT_REF_DAY_JOINTUNC,,"Joint uncertainty estimation for NEE_VUT_REF_DAY, including random uncertainty and USTAR filtering uncertainty"
646,HH,,not produced
647,DD,umolCO2 m-2 s-1,[SQRT(NEE_VUT_REF_DAY_RANDUNC^2 + ((NEE_VUT_84_DAY – NEE_VUT_16_DAY) / 2)^2)] for each day
648,WW,umolCO2 m-2 s-1,[SQRT(NEE_VUT_REF_DAY_RANDUNC^2 + ((NEE_VUT_84_DAY – NEE_VUT_16_DAY) / 2)^2)] for each week
649,MM,umolCO2 m-2 s-1,[SQRT(NEE_VUT_REF_DAY_RANDUNC^2 + ((NEE_VUT_84_DAY – NEE_VUT_16_DAY) / 2)^2)] for each month
650,YY,umolCO2 m-2 s-1,[SQRT(NEE_VUT_REF_DAY_RANDUNC^2 + ((NEE_VUT_84_DAY – NEE_VUT_16_DAY) / 2)^2)] for each year
651,NEE_CUT_USTAR50_NIGHT,,"Average nighttime NEE, from NEE_CUT_USTAR50"
652,HH,,not produced
653,DD,umolCO2 m-2 s-1,average from half-hourly data (where NIGHT is 1)
654,WW-YY,umolCO2 m-2 s-1,average from daily data
655,NEE_VUT_USTAR50_NIGHT,,"Average nighttime NEE, from NEE_VUT_USTAR50"
656,HH,,not produced
657,DD,umolCO2 m-2 s-1,average from half-hourly data (where NIGHT is 1)
658,WW-YY,umolCO2 m-2 s-1,average from daily data
659,NEE_CUT_USTAR50_NIGHT_SD,,"Standard Deviation of the nighttime NEE, from the NEE_CUT_USTAR50"
660,HH,,not produced
661,DD,umolCO2 m-2 s-1,from half-hourly data (where NIGHT is 1)
662,WW-YY,umolCO2 m-2 s-1,from daily data
663,NEE_VUT_USTAR50_NIGHT_SD,,"Standard Deviation of the nighttime NEE, from the NEE_VUT_USTAR50"
664,HH,,not produced
665,DD,umolCO2 m-2 s-1,from half-hourly data (where NIGHT is 1)
666,WW-YY,umolCO2 m-2 s-1,from daily data
667,NEE_CUT_USTAR50_NIGHT_QC,,Quality flag for NEE_CUT_USTAR50_NIGHT
668,HH,,not produced
669,DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
670,WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
671,NEE_VUT_USTAR50_NIGHT_QC,,Quality flag for NEE_VUT_USTAR50_NIGHT
672,HH,,not produced
673,DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
674,WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
675,NEE_CUT_USTAR50_NIGHT_RANDUNC,,"Random uncertainty of NEE_CUT_USTAR50_NIGHT, from the random uncertainty of the single nighttime half-hours"
676,HH,,not produced
677,DD-YY,umolCO2 m-2 s-1,"from random uncertainty of individual half-hours where NIGHT is 1 (rand(i)) = [SQRT(SUM(rand(i)^2)) / n], where n is the number of half-hours used to calculate the nighttime aggregation in the day."
678,NEE_VUT_USTAR50_NIGHT_RANDUNC,,"Random uncertainty of NEE_VUT_USTAR50_NIGHT, from the random uncertainty of the single nighttime half-hours"
679,HH,,not produced
680,DD-YY,umolCO2 m-2 s-1,"from random uncertainty of individual half-hours where NIGHT is 1 (rand(i)) = [SQRT(SUM(rand(i)^2)) / n], where n is the number of half-hours used to calculate the nighttime aggregation in the day."
681,NEE_CUT_USTAR50_NIGHT_JOINTUNC,,"Joint uncertainty estimation for NEE_CUT_USTAR50_NIGHT, including random uncertainty and USTAR filtering uncertainty"
682,HH,,not produced
683,DD,umolCO2 m-2 s-1,[SQRT(NEE_CUT_USTAR50_NIGHT_RANDUNC^2 + ((NEE_CUT_84_NIGHT – NEE_CUT_16_NIGHT) / 2)^2)] for each day
684,WW,umolCO2 m-2 s-1,[SQRT(NEE_CUT_USTAR50_NIGHT_RANDUNC^2 + ((NEE_CUT_84_NIGHT – NEE_CUT_16_NIGHT) / 2)^2)] for each week
685,MM,umolCO2 m-2 s-1,[SQRT(NEE_CUT_USTAR50_NIGHT_RANDUNC^2 + ((NEE_CUT_84_NIGHT – NEE_CUT_16_NIGHT) / 2)^2)] for each month
686,YY,umolCO2 m-2 s-1,[SQRT(NEE_CUT_USTAR50_NIGHT_RANDUNC^2 + ((NEE_CUT_84_NIGHT – NEE_CUT_16_NIGHT) / 2)^2)] for each year
687,NEE_VUT_USTAR50_NIGHT_JOINTUNC,,"Joint uncertainty estimation for NEE_VUT_USTAR50_NIGHT, including random uncertainty and USTAR filtering uncertainty"
688,HH,,not produced
689,DD,umolCO2 m-2 s-1,[SQRT(NEE_VUT_USTAR50_NIGHT_RANDUNC^2 + ((NEE_VUT_84_NIGHT – NEE_VUT_16_NIGHT) / 2)^2)] for each day
690,WW,umolCO2 m-2 s-1,[SQRT(NEE_VUT_USTAR50_NIGHT_RANDUNC^2 + ((NEE_VUT_84_NIGHT – NEE_VUT_16_NIGHT) / 2)^2)] for each week
691,MM,umolCO2 m-2 s-1,[SQRT(NEE_VUT_USTAR50_NIGHT_RANDUNC^2 + ((NEE_VUT_84_NIGHT – NEE_VUT_16_NIGHT) / 2)^2)] for each month
692,YY,umolCO2 m-2 s-1,[SQRT(NEE_VUT_USTAR50_NIGHT_RANDUNC^2 + ((NEE_VUT_84_NIGHT – NEE_VUT_16_NIGHT) / 2)^2)] for each year
693,NEE_CUT_USTAR50_DAY,,"Average daytime NEE, from NEE_CUT_USTAR50"
694,HH,,not produced
695,DD,umolCO2 m-2 s-1,average from half-hourly data (where NIGHT is 0)
696,WW-YY,umolCO2 m-2 s-1,average from daily data
697,NEE_VUT_USTAR50_DAY,,"Average daytime NEE, from NEE_VUT_USTAR50"
698,HH,,not produced
699,DD,umolCO2 m-2 s-1,average from half-hourly data (where NIGHT is 0)
700,WW-YY,umolCO2 m-2 s-1,average from daily data
701,NEE_CUT_USTAR50_DAY_SD,,"Standard Deviation of the daytime NEE, from the NEE_CUT_USTAR50"
702,HH,,not produced
703,DD,umolCO2 m-2 s-1,from half-hourly data (where NIGHT is 0)
704,WW-YY,umolCO2 m-2 s-1,from daily data
705,NEE_VUT_USTAR50_DAY_SD,,"Standard Deviation of the daytime NEE, from the NEE_VUT_USTAR50"
706,HH,,not produced
707,DD,umolCO2 m-2 s-1,from half-hourly data (where NIGHT is 0)
708,WW-YY,umolCO2 m-2 s-1,from daily data
709,NEE_CUT_USTAR50_DAY_QC,,Quality flag for NEE_CUT_USTAR50_DAY
710,HH,,not produced
711,DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
712,WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
713,NEE_VUT_USTAR50_DAY_QC,,Quality flag for NEE_VUT_USTAR50_DAY
714,HH,,not produced
715,DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
716,WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
717,NEE_CUT_USTAR50_DAY_RANDUNC,,"Random uncertainty of NEE_CUT_USTAR50_DAY, from the random uncertainty of the single daytime half-hours"
718,HH,,not produced
719,DD-YY,umolCO2 m-2 s-1,"from random uncertainty of individual half-hours where NIGHT is 0 (rand(i)) = [SQRT(SUM(rand(i)^2)) / n], where n is the number of half-hours used to calculate the daytime aggregation in the day."
720,NEE_VUT_USTAR50_DAY_RANDUNC,,"Random uncertainty of NEE_VUT_USTAR50_DAY, from the random uncertainty of the single daytime half-hours"
721,HH,,not produced
722,DD-YY,umolCO2 m-2 s-1,"from random uncertainty of individual half-hours where NIGHT is 0 (rand(i)) = [SQRT(SUM(rand(i)^2)) / n], where n is the number of half-hours used to calculate the daytime aggregation in the day."
723,NEE_CUT_USTAR50_DAY_JOINTUNC,,"Joint uncertainty estimation for NEE_CUT_USTAR50_DAY, including random uncertainty and USTAR filtering uncertainty"
724,HH,,not produced
725,DD,umolCO2 m-2 s-1,[SQRT(NEE_CUT_USTAR50_DAY_RANDUNC^2 + ((NEE_CUT_84_DAY – NEE_CUT_16_DAY) / 2)^2)] for each day
726,WW,umolCO2 m-2 s-1,[SQRT(NEE_CUT_USTAR50_DAY_RANDUNC^2 + ((NEE_CUT_84_DAY – NEE_CUT_16_DAY) / 2)^2)] for each week
727,MM,umolCO2 m-2 s-1,[SQRT(NEE_CUT_USTAR50_DAY_RANDUNC^2 + ((NEE_CUT_84_DAY – NEE_CUT_16_DAY) / 2)^2)] for each month
728,YY,umolCO2 m-2 s-1,[SQRT(NEE_CUT_USTAR50_DAY_RANDUNC^2 + ((NEE_CUT_84_DAY – NEE_CUT_16_DAY) / 2)^2)] for each year
729,NEE_VUT_USTAR50_DAY_JOINTUNC,,"Joint uncertainty estimation for NEE_VUT_USTAR50_DAY, including random uncertainty and USTAR filtering uncertainty"
730,HH,,not produced
731,DD,umolCO2 m-2 s-1,SQRT(NEE_VUT_USTAR50_DAY_RANDUNC^2 + ((NEE_VUT_84_DAY – NEE_VUT_16_DAY) / 2)^2) for each day
732,WW,umolCO2 m-2 s-1,SQRT(NEE_VUT_USTAR50_DAY_RANDUNC^2 + ((NEE_VUT_84_DAY – NEE_VUT_16_DAY) / 2)^2) for each week
